sample-id,absolute-filepath,direction
TG10008530,/Users/augustine/Documents/Code/computer-vision/Microbiome/exploration/test/TG10008530_2.fastq.gz,reverse
TG10008530,/Users/augustine/Documents/Code/computer-vision/Microbiome/exploration/test/TG10008530_1.fastq.gz,forward
